table_name,column_name,column_description
FantasyOwners_LLM,owner_id,The unique primary key for a fantasy owner. Use this ID to join from this table to others like FantasyTeams_LLM.
FantasyOwners_LLM,owner_name,"The display name of the fantasy owner. Use this for filtering when a user asks about a specific person (e.g., 'Dylan')."
FantasyOwners_LLM,total_wins,The owner's total number of wins across all regular seasons they have participated in.
FantasyOwners_LLM,total_losses,The owner's total number of losses across all regular seasons they have participated in.
FantasyOwners_LLM,total_ties,The owner's total number of ties across all regular seasons they have participated in.
FantasyOwners_LLM,total_win_percentage,The owner's lifetime winning percentage for regular season games.
FantasyOwners_LLM,total_points_for,The total number of fantasy points this owner's teams have scored across all regular seasons.
FantasyOwners_LLM,total_points_against,The total number of fantasy points scored against this owner's teams across all regular seasons.
FantasyOwners_LLM,points_for_per_game,The average number of points this owner's teams score per regular season game over their lifetime.
FantasyOwners_LLM,points_against_per_game,The average number of points scored against this owner's teams per regular season game over their lifetime.
FantasyOwners_LLM,total_player_acquisitions,The total number of players this owner has acquired across all seasons.
FantasyOwners_LLM,average_final_standing,The owner's average final ranking (including playoffs) at the end of all seasons they participated in.
FantasyOwners_LLM,championships_won,The total number of fantasy league championships this owner has won.
FantasyOwners_LLM,average_regular_season_finish,The owner's average finishing position at the end of the regular season across all seasons.
FantasySeasons_LLM,season_id,"The unique primary key for a fantasy season, representing the calendar year (e.g., 2022, 2023). Use this ID to join to other tables to filter data for a specific year."
FantasySeasons_LLM,league_name,The name of the fantasy league for that particular season.
FantasySeasons_LLM,team_count,The total number of teams that participated in the league during that season.
FantasySeasons_LLM,playoff_team_count,The number of teams that qualified for the playoffs in that season.
FantasySeasons_LLM,regular_season_matchup_count,The number of matchups each team played during the regular season.
FantasySeasons_LLM,scoring_format,"The scoring format used for the league in that season (e.g., 'PPR', 'Standard')."
FantasySeasons_LLM,champion_owner_id,The owner_id of the champion. JOIN to FantasyOwners_LLM on this ID to get the champion's name.
FantasySeasons_LLM,champion_team_id,The fantasy_team_id of the champion. JOIN to FantasyTeams_LLM on this ID to get the champion's team name.
FantasyTeams_LLM,fantasy_team_id,The unique primary key for a specific fantasy team within a specific season. An owner can have different team IDs across different seasons.
FantasyTeams_LLM,season_id,Foreign key to `FantasySeasons_LLM`. Use this to find a team's data for a specific season/year.
FantasyTeams_LLM,owner_id,Foreign key to `FantasyOwners_LLM`. Use this to find all teams belonging to a specific owner.
FantasyTeams_LLM,fantasy_team_name,The name of the fantasy team for that season.
FantasyTeams_LLM,final_standing,"The team's final rank in the league at the end of the season, including playoffs."
FantasyTeams_LLM,logo_url,A URL to the fantasy team's logo image.
FantasyTeams_LLM,wins,The number of wins for this team in this season's regular season.
FantasyTeams_LLM,losses,The number of losses for this team in this season's regular season.
FantasyTeams_LLM,ties,The number of ties for this team in this season's regular season.
FantasyTeams_LLM,points_for,The total points scored by this team during this season's regular season.
FantasyTeams_LLM,points_against,The total points scored against this team during this season's regular season.
FantasyTeams_LLM,total_player_acquisitions,The number of players this team acquired during this season.
FantasyTeams_LLM,total_player_drops,The number of players this team dropped during this season.
FantasyTeams_LLM,trades,The number of trades this team made during this season.
FantasyDraftPicks_LLM,draft_id,The unique primary key for a single draft pick.
FantasyDraftPicks_LLM,season_id,Foreign key to `FantasySeasons_LLM` to identify the year of the draft.
FantasyDraftPicks_LLM,owner_id,Foreign key to `FantasyOwners_LLM` to identify the owner who made the pick.
FantasyDraftPicks_LLM,fantasy_team_id,Foreign key to `FantasyTeams_LLM` to identify the team that made the pick.
FantasyDraftPicks_LLM,player_id,Foreign key to `Players_LLM` to identify the player who was drafted.
FantasyDraftPicks_LLM,round,The round number in which the player was drafted.
FantasyDraftPicks_LLM,pick_in_round,The pick number within that specific round.
FantasyDraftPicks_LLM,overall_pick_number,The overall pick number in the entire draft.
FantasyDraftPicks_LLM,player_position,The position of the player at the time they were drafted.
FantasyDraftPicks_LLM,rank_at_position_in_draft,The rank of the player at their position when they were drafted.
FantasyMatchups_LLM,matchup_id,The unique primary key for a single matchup.
FantasyMatchups_LLM,season_id,Foreign key to `FantasySeasons_LLM`. Use this to filter matchups by a specific year.
FantasyMatchups_LLM,nfl_week,The week of the NFL season that this fantasy matchup corresponds to.
FantasyMatchups_LLM,fantasy_week,"The fantasy week name or number (e.g., 'Week 1')."
FantasyMatchups_LLM,home_owner_id,Foreign key to `FantasyOwners_LLM` for the owner of the home team.
FantasyMatchups_LLM,away_owner_id,Foreign key to `FantasyOwners_LLM` for the owner of the away team.
FantasyMatchups_LLM,home_fantasy_team_id,Foreign key to `FantasyTeams_LLM` for the home team.
FantasyMatchups_LLM,away_fantasy_team_id,Foreign key to `FantasyTeams_LLM` for the away team.
FantasyMatchups_LLM,home_score,The final fantasy point total for the home team.
FantasyMatchups_LLM,away_score,The final fantasy point total for the away team.
FantasyMatchups_LLM,winning_owner_id,The owner_id of the owner who won the matchup. Will be NULL if there was a tie.
FantasyMatchups_LLM,losing_owner_id,The owner_id of the owner who lost the matchup. Will be NULL if there was a tie.
FantasyMatchups_LLM,tie,"A boolean value (1 for true, 0 for false) indicating if the matchup was a tie."
FantasyMatchups_LLM,matchup_category,"Category for the type matchup. Values are 'Regular Season', 'Postseason (Non-playoff)', or 'Playoff' . Use this to filter for regular season games."
Players_LLM,player_id,The unique primary key for an individual player. Use this to join to all player stats tables.
Players_LLM,player_name,The full name of the player. Use this for filtering when a user asks about a specific player.
NFLTeams_LLM,nfl_team_id,"The unique primary key for an NFL team (e.g., 'GB', 'KC'). Use this to join to player stats tables to get the team's full name."
NFLTeams_LLM,nfl_team_name,"The full name of the NFL team (e.g., 'Green Bay Packers')."
PlayerStats_Season_QB_LLM,player_season_stats_id,Unique primary key for this specific seasonal stat line.
PlayerStats_Season_QB_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Season_QB_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Season_QB_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team that season.
PlayerStats_Season_QB_LLM,games_played,The number of games the player played in that season.
PlayerStats_Season_QB_LLM,passes_attempted,Total number of pass attempts by the QB for the season.
PlayerStats_Season_QB_LLM,passes_completed,Total number of completed passes by the QB for the season.
PlayerStats_Season_QB_LLM,passing_completion_percentage,The QB's pass completion percentage for the season.
PlayerStats_Season_QB_LLM,total_passing_yards,Total passing yards for the season.
PlayerStats_Season_QB_LLM,passing_yards_per_attempt,The QB's average passing yards per pass attempt for the season.
PlayerStats_Season_QB_LLM,passing_touchdowns,Total passing touchdowns for the season.
PlayerStats_Season_QB_LLM,interceptions,Total interceptions thrown for the season.
PlayerStats_Season_QB_LLM,passer_rating,The QB's passer rating for the season.
PlayerStats_Season_QB_LLM,rushing_attempts,Total rushing attempts by the QB for the season.
PlayerStats_Season_QB_LLM,total_rushing_yards,Total rushing yards by the QB for the season.
PlayerStats_Season_QB_LLM,rushing_touchdowns,Total rushing touchdowns by the QB for the season.
PlayerStats_Season_QB_LLM,season_rank,The player's final rank among all players at their position for the season.
PlayerStats_Season_QB_LLM,fantasy_points_per_game,The player's average fantasy points per game for the season.
PlayerStats_Season_QB_LLM,total_fantasy_points,The player's total fantasy points for the entire season.
PlayerStats_Season_RB_LLM,player_season_stats_id,Unique primary key for this specific seasonal stat line.
PlayerStats_Season_RB_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Season_RB_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Season_RB_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team that season.
PlayerStats_Season_RB_LLM,games_played,The number of games the player played in that season.
PlayerStats_Season_RB_LLM,rushing_attempts,Total rushing attempts by the RB for the season.
PlayerStats_Season_RB_LLM,total_rushing_yards,Total rushing yards by the RB for the season.
PlayerStats_Season_RB_LLM,rushing_yards_per_attempt,The RB's average yards per rushing attempt for the season.
PlayerStats_Season_RB_LLM,rushing_touchdowns,Total rushing touchdowns by the RB for the season.
PlayerStats_Season_RB_LLM,receptions,Total passes caught by the RB for the season.
PlayerStats_Season_RB_LLM,targets,Total times the RB was the intended receiver of a pass for the season.
PlayerStats_Season_RB_LLM,receiving_yards,Total yards gained from receiving passes for the season.
PlayerStats_Season_RB_LLM,receiving_touchdowns,Total touchdowns scored from receiving passes for the season.
PlayerStats_Season_RB_LLM,fumbles,Total number of times the player fumbled the ball.
PlayerStats_Season_RB_LLM,fumbles_lost,Total number of fumbles that resulted in a turnover.
PlayerStats_Season_RB_LLM,season_rank,The player's final rank among all players at their position for the season.
PlayerStats_Season_RB_LLM,fantasy_points_per_game,The player's average fantasy points per game for the season.
PlayerStats_Season_RB_LLM,total_fantasy_points,The player's total fantasy points for the entire season.
PlayerStats_Season_WR_LLM,player_season_stats_id,Unique primary key for this specific seasonal stat line.
PlayerStats_Season_WR_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Season_WR_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Season_WR_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team that season.
PlayerStats_Season_WR_LLM,games_played,The number of games the player played in that season.
PlayerStats_Season_WR_LLM,receptions,Total passes caught by the WR for the season.
PlayerStats_Season_WR_LLM,targets,Total times the WR was the intended receiver of a pass for the season.
PlayerStats_Season_WR_LLM,receiving_yards,Total yards gained from receiving passes for the season.
PlayerStats_Season_WR_LLM,receiving_yards_per_reception,The WR's average yards per catch for the season.
PlayerStats_Season_WR_LLM,receiving_yards_per_target,The WR's average yards per target for the season.
PlayerStats_Season_WR_LLM,receiving_touchdowns,Total touchdowns scored from receiving passes for the season.
PlayerStats_Season_WR_LLM,longest_reception,The length in yards of the WR's longest single reception for the season.
PlayerStats_Season_WR_LLM,catch_rate,The percentage of targets that were caught by the player.
PlayerStats_Season_WR_LLM,rushing_attempts,Total rushing attempts by the WR for the season.
PlayerStats_Season_WR_LLM,total_rushing_yards,Total rushing yards by the WR for the season.
PlayerStats_Season_WR_LLM,rushing_touchdowns,Total rushing touchdowns by the WR for the season.
PlayerStats_Season_WR_LLM,fumbles,Total number of times the player fumbled the ball.
PlayerStats_Season_WR_LLM,fumbles_lost,Total number of fumbles that resulted in a turnover.
PlayerStats_Season_WR_LLM,season_rank,The player's final rank among all players at their position for the season.
PlayerStats_Season_WR_LLM,fantasy_points_per_game,The player's average fantasy points per game for the season.
PlayerStats_Season_WR_LLM,total_fantasy_points,The player's total fantasy points for the entire season.
PlayerStats_Season_TE_LLM,player_season_stats_id,Unique primary key for this specific seasonal stat line.
PlayerStats_Season_TE_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Season_TE_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Season_TE_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team that season.
PlayerStats_Season_TE_LLM,games_played,The number of games the player played in that season.
PlayerStats_Season_TE_LLM,receptions,Total passes caught by the TE for the season.
PlayerStats_Season_TE_LLM,targets,Total times the TE was the intended receiver of a pass for the season.
PlayerStats_Season_TE_LLM,receiving_yards,Total yards gained from receiving passes for the season.
PlayerStats_Season_TE_LLM,receiving_yards_per_reception,The TE's average yards per catch for the season.
PlayerStats_Season_TE_LLM,receiving_yards_per_target,The TE's average yards per target for the season.
PlayerStats_Season_TE_LLM,receiving_touchdowns,Total touchdowns scored from receiving passes for the season.
PlayerStats_Season_TE_LLM,longest_reception,The length in yards of the TE's longest single reception for the season.
PlayerStats_Season_TE_LLM,catch_rate,The percentage of targets that were caught by the player.
PlayerStats_Season_TE_LLM,fumbles,Total number of times the player fumbled the ball.
PlayerStats_Season_TE_LLM,fumbles_lost,Total number of fumbles that resulted in a turnover.
PlayerStats_Season_TE_LLM,season_rank,The player's final rank among all players at their position for the season.
PlayerStats_Season_TE_LLM,fantasy_points_per_game,The player's average fantasy points per game for the season.
PlayerStats_Season_TE_LLM,total_fantasy_points,The player's total fantasy points for the entire season.
PlayerStats_Season_K_LLM,player_season_stats_id,Unique primary key for this specific seasonal stat line.
PlayerStats_Season_K_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Season_K_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Season_K_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team that season.
PlayerStats_Season_K_LLM,games_played,The number of games the player played in that season.
PlayerStats_Season_K_LLM,field_goal_attempts,Total field goals attempted by the Kicker for the season.
PlayerStats_Season_K_LLM,field_goals_made,Total field goals successfully made by the Kicker for the season.
PlayerStats_Season_K_LLM,field_goal_percentage,The Kicker's field goal success percentage for the season.
PlayerStats_Season_K_LLM,longest_field_goal,The distance in yards of the Kicker's longest successful field goal for the season.
PlayerStats_Season_K_LLM,extra_point_attempts,Total extra points attempted by the Kicker for the season.
PlayerStats_Season_K_LLM,extra_points_made,Total extra points successfully made by the Kicker for the season.
PlayerStats_Season_K_LLM,season_rank,The player's final rank among all players at their position for the season.
PlayerStats_Season_K_LLM,fantasy_points_per_game,The player's average fantasy points per game for the season.
PlayerStats_Season_K_LLM,total_fantasy_points,The player's total fantasy points for the entire season.
PlayerStats_Season_DST_LLM,player_season_stats_id,Unique primary key for this specific seasonal stat line.
PlayerStats_Season_DST_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Season_DST_LLM,player_id,"Foreign key for the 'player', which for a DST is the team. NOTE: For DST, this ID corresponds to the nfl_team_id from the NFLTeams_LLM table."
PlayerStats_Season_DST_LLM,nfl_team_id,Foreign key for the NFL team. Links to `NFLTeams_LLM`.
PlayerStats_Season_DST_LLM,games_played,The number of games played in that season.
PlayerStats_Season_DST_LLM,defensive_sacks,Total sacks made by the defense for the season.
PlayerStats_Season_DST_LLM,defensive_interceptions,Total interceptions made by the defense for the season.
PlayerStats_Season_DST_LLM,fumbles_recovered,Total fumbles recovered by the defense for the season.
PlayerStats_Season_DST_LLM,safeties,Total safeties scored by the defense for the season.
PlayerStats_Season_DST_LLM,defensive_touchdowns,"Total touchdowns scored by the defense itself (e.g., pick-six)."
PlayerStats_Season_DST_LLM,return_touchdowns,Total touchdowns scored by the special teams on returns.
PlayerStats_Season_DST_LLM,opponents_points_scored,Total points allowed to opposing offenses for the season.
PlayerStats_Season_DST_LLM,season_rank,The team's final rank among all DSTs for the season.
PlayerStats_Season_DST_LLM,fantasy_points_per_game,The team's average fantasy points per game for the season.
PlayerStats_Season_DST_LLM,total_fantasy_points,The team's total fantasy points for the entire season.
PlayerStats_Weekly_QB_LLM,player_weekly_stats_id,Unique primary key for this specific weekly stat line.
PlayerStats_Weekly_QB_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Weekly_QB_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Weekly_QB_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team.
PlayerStats_Weekly_QB_LLM,game_week,The week of the NFL season for this stat line.
PlayerStats_Weekly_QB_LLM,opponent,The nfl_team_id of the opponent team. Join to `NFLTeams_LLM` to get the full name.
PlayerStats_Weekly_QB_LLM,passes_attempted,Number of pass attempts by the QB for the week.
PlayerStats_Weekly_QB_LLM,passes_completed,Number of completed passes by the QB for the week.
PlayerStats_Weekly_QB_LLM,total_passing_yards,Passing yards for the week.
PlayerStats_Weekly_QB_LLM,passing_touchdowns,Passing touchdowns for the week.
PlayerStats_Weekly_QB_LLM,interceptions,Interceptions thrown for the week.
PlayerStats_Weekly_QB_LLM,passer_rating,The QB's passer rating for the week.
PlayerStats_Weekly_QB_LLM,rushing_attempts,Rushing attempts by the QB for the week.
PlayerStats_Weekly_QB_LLM,total_rushing_yards,Rushing yards by the QB for the week.
PlayerStats_Weekly_QB_LLM,rushing_touchdowns,Rushing touchdowns by the QB for the week.
PlayerStats_Weekly_QB_LLM,total_fantasy_points,The player's total fantasy points for this specific week.
PlayerStats_Weekly_RB_LLM,player_weekly_stats_id,Unique primary key for this specific weekly stat line.
PlayerStats_Weekly_RB_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Weekly_RB_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Weekly_RB_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team.
PlayerStats_Weekly_RB_LLM,game_week,The week of the NFL season for this stat line.
PlayerStats_Weekly_RB_LLM,opponent,The nfl_team_id of the opponent team. Join to `NFLTeams_LLM` to get the full name.
PlayerStats_Weekly_RB_LLM,rushing_attempts,Rushing attempts by the RB for the week.
PlayerStats_Weekly_RB_LLM,total_rushing_yards,Rushing yards by the RB for the week.
PlayerStats_Weekly_RB_LLM,rushing_touchdowns,Rushing touchdowns by the RB for the week.
PlayerStats_Weekly_RB_LLM,receptions,Passes caught by the RB for the week.
PlayerStats_Weekly_RB_LLM,targets,Times the RB was the intended receiver of a pass for the week.
PlayerStats_Weekly_RB_LLM,receiving_yards,Yards gained from receiving passes for the week.
PlayerStats_Weekly_RB_LLM,receiving_touchdowns,Touchdowns scored from receiving passes for the week.
PlayerStats_Weekly_RB_LLM,fumbles,Number of times the player fumbled the ball in the week.
PlayerStats_Weekly_RB_LLM,fumbles_lost,Number of fumbles that resulted in a turnover in the week.
PlayerStats_Weekly_RB_LLM,total_fantasy_points,The player's total fantasy points for this specific week.
PlayerStats_Weekly_WR_LLM,player_weekly_stats_id,Unique primary key for this specific weekly stat line.
PlayerStats_Weekly_WR_LLM,season_id,Foreign key to `FantasySeasons_LLM` to filter by year.
PlayerStats_Weekly_WR_LLM,player_id,Foreign key to `Players_LLM` to link stats to a player's name.
PlayerStats_Weekly_WR_LLM,nfl_team_id,Foreign key to `NFLTeams_LLM` for the player's NFL team.
PlayerStats_Weekly_WR_LLM,game_week,The week of the NFL season for this stat line.
PlayerStats_Weekly_WR_LLM,opponent,The nfl_team_id of the opponent team. Join to `NFLTeams_LLM` to get the full name.
PlayerStats_Weekly_WR_LLM,receptions,Passes caught by the WR for the week.
